date,datetime,humidity,temp_c,precip,windspeed
01/01/2011,2011-01-01T00:00:00,93.53,17.0,0.0,12.6
01/01/2011,2011-01-01T01:00:00,91.1,17.5,0.0,15.3
01/01/2011,2011-01-01T02:00:00,92.19,17.2,6.25,9.8
01/01/2011,2011-01-01T03:00:00,95.25,17.4,0.0,8.9
01/01/2011,2011-01-01T04:00:00,92.53,17.6,0.0,10.3
01/01/2011,2011-01-01T05:00:00,91.04,18.1,0.0,10.1
01/01/2011,2011-01-01T06:00:00,92.53,17.6,0.0,10.2
01/01/2011,2011-01-01T07:00:00,89.16,18.2,0.0,14.5
01/01/2011,2011-01-01T08:00:00,83.34,19.7,0.0,14.9
01/01/2011,2011-01-01T09:00:00,77.92,21.0,0.0,20.5
01/01/2011,2011-01-01T10:00:00,74.12,21.8,0.0,12.1
01/01/2011,2011-01-01T11:00:00,69.91,22.9,0.0,17.9
01/01/2011,2011-01-01T12:00:00,74.0,22.3,0.0,16.7
01/01/2011,2011-01-01T13:00:00,63.98,23.8,0.0,16.9
01/01/2011,2011-01-01T14:00:00,68.65,23.0,0.43,19.0
01/01/2011,2011-01-01T15:00:00,77.76,21.3,0.0,16.5
01/01/2011,2011-01-01T16:00:00,80.92,21.4,0.0,7.3
01/01/2011,2011-01-01T17:00:00,78.86,22.2,0.0,7.7
01/01/2011,2011-01-01T18:00:00,69.92,22.8,0.0,12.5
01/01/2011,2011-01-01T19:00:00,76.14,21.0,0.0,15.5
01/01/2011,2011-01-01T20:00:00,84.37,20.1,0.0,10.7
01/01/2011,2011-01-01T21:00:00,88.24,19.6,0.0,10.2
01/01/2011,2011-01-01T22:00:00,82.61,20.1,0.0,12.4
01/01/2011,2011-01-01T23:00:00,82.85,19.8,0.0,13.5
02/01/2011,2011-01-02T00:00:00,82.8,19.4,0.0,10.5
02/01/2011,2011-01-02T01:00:00,88.13,18.4,0.0,14.6
02/01/2011,2011-01-02T02:00:00,90.8,17.7,0.0,11.0
02/01/2011,2011-01-02T03:00:00,91.76,17.4,0.0,6.7
02/01/2011,2011-01-02T04:00:00,88.05,17.4,0.0,8.0
02/01/2011,2011-01-02T05:00:00,89.16,17.6,0.0,6.0
02/01/2011,2011-01-02T06:00:00,93.56,17.6,0.0,4.5
02/01/2011,2011-01-02T07:00:00,94.69,17.8,0.0,6.2
02/01/2011,2011-01-02T08:00:00,89.81,18.7,2.58,9.5
02/01/2011,2011-01-02T09:00:00,85.37,20.0,0.0,7.6
02/01/2011,2011-01-02T10:00:00,74.6,21.8,0.0,10.5
02/01/2011,2011-01-02T11:00:00,67.08,24.5,0.0,13.7
02/01/2011,2011-01-02T12:00:00,61.96,24.6,0.0,13.0
02/01/2011,2011-01-02T13:00:00,58.32,25.4,0.0,13.1
02/01/2011,2011-01-02T14:00:00,55.97,25.9,0.0,12.7
